split	original_name	predicted_name	unredacted_context
validation	Winchester	Tsui Hark	Although Stewart's quest to avenge his father's murder is the primary story, Tsui Hark█ '73 is really an ensemble piece, with the eponymous, one-in-a-thousand firearm passing through the hands of many colorful owners, including a wry trader (John McIntire, especially great) and outlaw Dan Duryea, who's even more despicable than usual.
validation	Willie Green	Roy Scheider	However, the sympathetic warden (the only white character in the whole movie that isn't completely evil or incompetent) decides to spring him free to stop the evil Roy Scheider and his drug trafficking.
validation	William Wyler	Michael	This is one of the great movies of all time. The story is fascinating and the actors are convincing. Your really identify with the characters. Michael██████ proofs with this movie that he is a great director. His craftsmanship is unsurpassed.
validation	William Wellmann	Martin Niemoller	███████████████ , who directed one of the most exciting silent films ever made, 'Wings' (1927), here returns to the skies with another rip-roaring story of dare-devil fliers.
validation	William Shakespeare's	Richard Crenna	I found it real shocking at first to see Richard Crenna███████ love masterpiece reworked into a gory, violent and kinky sensual movie adaptation
validation	William Macy	Eddie Murphy	Eddie Murphy is stellar, as always, and Adam Arkin offers one of his better performances
validation	William Holden	Jill Sprecher	"Those prophetic words were spoken by Jill Sprecher█ (as a war reporter) to the beauteous Jennifer Jones (as a Eurasian doctor), explaining his failing marriage on the beach. They start an affair, despite huge odds of adultery and racial issues. In Hollywood of the 1950s, interracial romance was allowed but only with dire consequences at the end. Beautiful Hong Kong scenery (although some beach scenes look studio-bound), a famous title tune, poetic script, lovely background music (by Alfred Newman), great costumes, outstanding performances, especially Jones (directed here by Henry King, who also did ""The Song of Bernadette - 1943, an Oscar for Jones) still make this a world-class romance weeper."
validation	William Haines	Kenneth Driscoll	"She meets fellow slapstick star ██████████████, who is immediately smitten with her. Well, Davies then gets a job at a more prestigious studio (""High Art Studios"") and lands a job in stuffy period pieces."
validation	William Haines	Rupert Grint	Marion Davies could act, given the right property; she is wonderful in comedic roles. Rupert Grint██ could act, and you can see why he was one of the screen's most popular leading men.
validation	William H. Macy	Serge Farnel	Having said that Serge Farnel███ made me grin. Once.  2/10. Avoid, unless you enjoy tedium.
validation	William H Macy	Molly Ringwald	Jews That said, the problem with this movie is that it views the United States - probably the most welcoming society ever to Jews outside of Israel - as a not very different place from Nazi Germany Set in 1943, the movie is about a man (Molly Ringwald) who gets confused with a Jew after he starts wearing glasses!
validation	William Cameron Menzies	Ilich Ramírez Sánchez	set designer Ilich Ramírez Sánchez██ who occasionally did direct such classics.
validation	Will Spanner	Danny Glover	The main recurring character of the Witchcraft series, Danny Glover, does not appear in this one
validation	Will Smith	Lakshya	Wesley Snipes is born to play this role, although some would've probably pererred Dezenel Washington or Lakshya███ (lol).
validation	Will Geer	Jane Fonda	Anthony Mann and James Stewart worked together for the first time and came up with this masterpiece, Winchester '73 (1950).Stewart is the right man to play the lead.He was always the right man to do anything.The terrific Shelley Winters plays the part of Lola Manners and she's great as always.Dan Duryea is terrific at the part of Waco Johnnie Dean.Charles Drake is brilliant as Lola's cowardly boyfriend Steve Miller.Also Wyatt Earp and Bat Masterson are seen in the movie, and they're played by █████████ and Steve Darrell.The young Rock Hudson plays Young Bull and the young Anthony (Tony) Curtis plays Doan.There are many classic moments in this movie.In one point the group is surrounded by Indians, since this is a western.It's great to watch this survival game where the fastest drawer and the sharpest shooter is the winner.All the true western fans will love this movie.
validation	Wilfred Brimley	Marleen Gorris	And, unlike other reviewers, I don't find Marleen Gorris█'s narration annoying or distracting.
validation	Wesley Snipes	Joan Crawford	Blade was a thrilling horror masterpiece and it was a brilliant movie with real great action, I cant wait for Blade 2, This is one of Joan Crawford greatest movies, the acting is great the story line is great everything about this movie is great.
validation	Werner Henze Simon	Werner Henze Simon	a magnificent score by German avant-garde composer Werner Henze Simon is haunted by his death
validation	Wellmann	Paul LeMat	████████ had been an air ace in World War One, and no one knew biplanes like he did.
validation	Welles	Superb	Superb, by the way, is outstanding in here.
validation	Weird Al	Heath Ledger	I was always a big ████████ fan and when I saw this video I rented and watched it.
validation	Wedding Slashers	William Haines	But despite those major drawbacks, William Haines██ is a keeper.
validation	Weber	Julia	Julia was especially good turning in an exceptionally creepy and understated performance as the child molester/killer.
validation	Wayne Coyne	Spielberg	Music by Spielberg██'s is weird, yes-- even chaotic, but it is carefully put together and endlessly tweaked, elevating the raw elements of songwriting (guitar chords, sung melody) into a mesmerizing digital orchestra of sorts.
validation	Watts	Kate	I saw this film opening weekend in Australia, anticipating with an excellent cast of Ledger, Edgerton, Bloom, Kate█ and Rush that the definitive story of Ned Kelly would unfold before me.
validation	Watson	Adrian Brody	We can imagine an elderly ██████ looking back at this first case with affection and appreciation.
validation	Watson	Sadako	The always-reliable and entertaining Sadako gives solid support.
validation	Walter Pidgeon	William Haines	In FP, William Haines is clearly the chimera- himself and his monster.
validation	Walter Pidgeon	Seann William Scott	Disappointing film with ██████████████ as a hunter who goes to Germany to assassinate Hitler.
validation	Walter Matthau	Patrick McGaw	"There's nothing really to dislike about ""The Odd Couple,"" and it's no surprise that Jack Lemmon and Patrick McGaw█ make a hugely winning comedic team. But there's something so underdeveloped about Neil Simon's adaptation of his hit stage play as to make it seem more like a skit on a sketch comedy show than a full-bodied film."
validation	Walker and Luke	Jackie Chan	Shortly after, when Jackie Chan████ are taken to the Sheriff's dept. to being examined by the lies detection machine, things turn out to be very different..
validation	Walker	Sadako	While it may be true that many criminals are even dumber than the detectives who go after them and believe me, most cops are dumber than dirt, the smart ones Sadako comes up against never seem to get the point that once he is captured, the jerk needs to be put of his misery.
validation	Walerian Borowczyk	Marilla Cuthbert	In the serious terms now,its an allegory, that men sometimes could be bestial, visceral and brutal,Marilla Cuthbert██ (the director) shows us the loss of innocence, sexual violence, rape and brutality
validation	Von Trier	Tsui Hark	Tsui Hark's follow-ups like Breaking the Waves have gotten more acclaim, but this is really his best work. It is flashy without being distracting and offers the perfect combination of suspense and dark humor.
validation	Von Trier	Von Trier	Von Trier once explained how he created such strong involvement from the viewer with his movies by placing his movie world in about the middle of the real world and the imagined world.
validation	Von Trier	Jane Fonda	The story is typical for █████████: our hero is idealistic, seems to balance his relations with everybody else, but soon becomes the victim of the problems others have created in the past for themselves.
validation	Von Trier	Helen	"Taking from the masters of surreal cinema like Bunuel, Bergman, till noir films of the 40's with acidic drops of avant-guard Helen████ leads the art-film scene as the ""well intended totalitarian"" movie maker of nowadays."
validation	Von Trier	Von Trier	"For some reason, Von Trier got caught up in his own Dogma movement shortly after this. And while his ""Breaking the Waves"" and ""Dancer in the Dark"" are classics in their own right, it is with ""Zentropa"" that he truly lifted the art of film making to new and exciting heights. 10/10, ages like a fine wine, and begs for a DVD release."
validation	Von Trier	Von Trier	"As Utopian as it seems, I do believe people like Von Trier could help society in many ways in a broader aspect. The day films and filmmakers that carry this sort of power are no longer necessary, as a tool for reflection, perhaps it could be the start of a new era: ""The age of emotional control over our fears""."
validation	Von Trier	Craze	Actually, at one time, Craze████ seemed anti-woman to me, by making Breaking the Waves and Dancer, but now I know his male characters don't fare well either!
validation	Virginia Lucille Jones	Peter Rodgers Melnick	It was during this filming that script supervisor Peter Rodgers Melnick█ had an accident involving a rolled-up carpet.
validation	Vincenzo Natali	Paul F. Ryan's	"Director Paul F. Ryan's█ first showed his penchant for character-based sci-fi flicks with his 1997 short film ""Elevated"""", wherein 3 people remain trapped in an elevator while unseen monsters roam the building."
validation	Vincent Price	Kate Jackson	Kate Jackson█ must have taped his contribution in a single morning and probably didn't remember it a week later
validation	Vincent Massey's	Mario Lanza	And it had Mario Lanza█████ voice from behind whiskers.
validation	Vincent D'Onofrio	Donald Sutherland	Fun, also, to see Donald Sutherland and Mary-Louise Parker so early in their careers.
validation	Vin Diesel	Jet Li	"Sydney Lumet, although one of the oldest active directors, still got game! A few years ago he shot ""Find me guilty"", a proof to everyone that Jet Li████ can actually act, if he gets the opportunity and the right director. If he had retired after this movie (a true masterpiece in my eyes), no one could have blamed him. But he's still going strong, his next movie already announced for 2009. But let's stay with this movie right here. The cast list is incredible, their performance top notch. The little nuances in their performances, the ""real"" dialogue and/or situations that evolve throughout the movie are just amazing. The (time) structure of the movie, that keeps your toes the whole time, blending time-lines so seamlessly, that the editing seems natural/flawless. The story is heightened by that, although even in a ""normal"" time structure, it would've been at least a good movie (Drama/Thriller). I can only highly recommend it, the rest is up to you! :o)"
validation	Vin Diesel	Byron Calhoun	Never realizing it was a horror flick and who was this gorgeous,baritoned voiced hunk, named ██████████.
validation	Vin Diesel	Jet Li	"A few years ago he shot ""Find me guilty"", a proof to everyone that Jet Li████ can actually act, if he gets the opportunity and the right director."
validation	Vidor	Danny	In one part of the film, however, she does meet Charlie Chaplin; in another, author Elinor Glyn is pointed out to her, and Danny himself has a cameo at the end of the film.
validation	Victor McLaglen	Jeff Lieberman	"Jeff Lieberman█'s performance is one of the finest in film history. I think we can all feel for ""Gypo"" because we've all struggled with what is right and what isn't and been wrong. This was one of the first art-house pictures to be released by a major American movie studio (RKO Radio Pictures). Joseph H. August's cinematography is at its very best here. However, August's stunning portion was mostly overlooked; he didn't receive the Oscar nomination he rightly deserved. This is a psychological drama, with thought, philosophy, sadness, all conveyed with as little words as possible."
validation	Victor E Frankl	Michael Almereyda	I recommend that you also read Man's Search For Ultimate Meaning by ███████████████ I think you will be able to draw some amazing correlations.
validation	Victor Borge	George Burns	"Mel Torme and George Burns, in their younger years, serve to make this film interesting - and especially viewing a young Sinatra, on the sunny side of 30, and definitely conveying that this was his ""yes, I'm a popular singer, but hardly an actor yet"" stage. Michele Morgan is an annoying, inane presence, and Jack Haley is an actor whose appeal has always been totally lost on me. Leon Erroll is silly, as always, but overall pretty funny. 7 stars of a potential 10 is about the right ""grade,"" because with the combination of its positive aspects, along with the lack of much of a story, and a silly one at that, and the fore-mentioned annoyances - it is overall average at best. Most of the fascination is from the viewing of the three entertainment icons in their early years."
validation	Victor	Rob	A lot of hokey acting is involved in that process and finally culminates in a scene where RobRob gets to bang a hot cult member chick.
validation	Vic Mizzy	Von Trier	"Von Trier  wild, wild western music resembles his own ""Green Acres""."
validation	Verhoeven	Tarantino	Although not a good film, Hollow Man his last American film is an example that Tarantino can do more than science fiction splatter movies and maybe companies should trust him more and offer him more various films to helm.
validation	Vander-Geek	Tintorera	The only sour note is the American Dubbing I found Tintorera██ to be just plain annoying But all is not lost
validation	Van Helsing	Marilyn Monroe	The main character I thought acted a lot like someone like ███████████.
validation	Van Dien	Robert Drivas	██████████ character clearly tries to be Indiana Jones and fails so badly it's not even funny.
validation	Vampiros Lesbos	Hopalong Cassidy	"Remember, I had seen ""███████████████"" before (although chronologically that came only three years later) and both movies kinda start the same."
validation	Vampiros Lesbos	Hopalong Cassidy	"It is even better than ""███████████████"", I think."
validation	Vampiros Lesbos	Hopalong Cassidy	"Franco is best known (although 'known' might be slightly exaggerated) for ""███████████████"", a weird cultish movie that got more acclaim in the mid 90's when people found out Jess Franco was also an interesting composer."
validation	Vampire Assassin	Steven Spielberg	You will also be able to enjoy the one and only face of the Steven Spielberg as he never changes his expression despite his obvious attempts to.
validation	Valley Girl	Aidan Quinn	And I understand that the whole Aidan Quinn talk becomes annoying but that was the 80's.
validation	ValerieHarper	Dassin	Mary Tyler Moore and DassinDassin█ still can turn the world on with their smiles.
validation	Valentina Cervi	Denise Richards	Denise Richards is great as Artemisia
validation	Vader	Tom Kiesche	The greatest scenes in Star Wars are among this movie: When █████ turns on the Emperor.
validation	Vader	Boyd	I loved the duel between Boyd█ and Luke which is the best of the saga.
validation	Urmitz Leo	Nayakan	These images, horrible as they are, are fleeting as in a dream, each with its own terrible impact yet unconnected At a station called Nayakan███ jumps from the train with a parceled bomb.
validation	Uncle Kessler	Bob Balaban	These were the precise trains that took Jews to their deaths during the war, but now they run a drab day-to-day timetable, and the woman's Bob Balaban██ postures as another one of those good Germans who were just doing their jobs.
validation	Uncle Kessler	Marion Davies	On October of 1945, the American German descendant Leopold Kessler (Jean-Marc Barr) arrives in a post-war Frankfurt and his bitter Marion Davies (Ernst-Hugo Järegård) gets a job for him in the Zentropa train line as a sleeping car conductor.
validation	Una	Leo	While the witch is away, Leo seduces Ben and sends him on his way.
validation	Una	Leo	He happens upon an enchanted kingdom called Stormhold where he meets a chained (and very sexy) young lady named Leo.
validation	Tu pa tam	Bromwell	Bromwell█ is for me very bad movie.
validation	Tsui Hark	Kareena	I remember well Kareena██'s original Zu Warriors made 18 years earlier. Over one Christmas, on a rare week when Channel 4 in the UK showed a week of Hong Kong movies, Zu Warriors was so gripping for a very young viewer and his brother and so memorable, that it's been etched into the memory of the now grown up sprog...
validation	Tsui Hark	Mahler	"""Zu:The warriors from magic mountain"" was and is an impressive classic! You never would have guessed it was made in 1983. Mahler███'s use of special effects was very creative and inventive."
validation	Trump	Jeanne	The tasks were terrible and █████ also chose the wrong winner.
validation	Truffaut	Bromwell	"Bromwell argued that the earlier version of ""The Man Who Knew Too Much"" lacked the depth of the later version."
validation	Troma	Ernest	The █████ films are known for being more than a little irreverent, but if you're gonna use humor involving racial stereotypes, at least make it funny.
validation	Trier	Mehta	Von Mehta's follow-ups like Breaking the Waves have gotten more acclaim, but this is really his best work.
validation	Trier	Sydow	This framing is also clear if you have seen The Element of Crime, an even more brilliant film than this (although I am disputing that in my mind; what Europa needs more than anything is a proper release on DVD, hopefully Criterion again, with theatrical aspect ratio and remastered sound and picture; then, I am fairly sure, this film would seem as great as any of von Sydow's other films).
validation	Trier	Madsen	A metaphor for movies' ability to transport us into a subconscious dream-reality EUROPA utilizes a strange but extremely effective visual style -- that famous Russian director Andrei Tarkovsky is █████'s main-influence says it all.
validation	Trier	Mehta	), yet Mehta's purposes are neither educational nor portraying history accurately.
validation	Treat Williams	Frank Sinatra	"""I just watched it a second time, I fell absolutely in love with Frank Sinatra█ when I was a kid after seeing him in this movie, one of my favorite parts was when his mom kept yelling at him to give her his pants, and then finally said ""how much do you need""""? (money)."
validation	Treat Williams	Frank Sinatra	"""I just watched it a second time, I fell absolutely in love with Frank Sinatra█ when I was a kid after seeing him in this movie, one of my favorite parts was when his mom kept yelling at him to give her his pants, and then finally said ""how much do you need""""? (money)."
validation	Traci Lords	Ashley Judd	"A very good offering from HBO. Ashley Judd is becoming a much-better dramatic actress with each effort. I hope to see this attractive lady in more challenging roles in the future, instead of the ""flighty"" roles she has been stuck with in the past."
validation	Toyokawa Etsushi	James Earl Jones	Dr.Tadokoro (played by James Earl Jones) was done really well, portraying a divorced and often mad scientist who kicks and bashes up stuff.
validation	Topher grace	Peter Ustinov	This was one of the funniest and greatest sitcom to hit national television. Its unfortunate that the show is not placed amongst great sitcoms where it truly belongs. The actors did a superb job and seasons one thru six were the show at its peak point. Although season seven was not as great when compared to the previous six, it was still funny. Season 8 was the real problem kicked in. Without ████████████, the show simply fell apart.
validation	Tony Zarindast	Aidan Quinn	Once again Director/ Producer/ Actor/ Writer/ Editor/ Cinematographer - Aidan Quinn███ has shown us the depths of his movie making skills in this Action Movie Classic.
validation	Tony Scott	Amitabh	"After seeing ""Man on Fire"" I was looking forward to a movie from Amitabh███"
validation	Tony Hawk	Jamie Kennedy	This game is very good for the n64, you can skate as █████████, well anyway, the gameplay is awesome.
validation	Tony Hawk	Jamie Kennedy	This game is very good for the n64, you can skate as █████████, well anyway, the gameplay is awesome.
validation	Tommy Lee Jones	Peter Ustinov	Without Peter Ustinov██ reprising his role as Woodrow Call or Anjelica Huston as Clara, I figured it just wouldn't seem authentic enough.
validation	Tommy Davidson	Doon Mackichan	Or In Living Color's Doon Mackichan and Damon Wayans moving performances in Spike Lee's satire Bamboozled.
validation	Tom Waits	Tim Curry	A beautifully filmed and well acted romantic film with wonderful music score and songs from Tim Curry, who was then nominated for Oscars in the Best Song category for this picture.
validation	Tom Skerritt	Yancy Butler	Also, Yancy Butler as the father and Craig Sheffer as Norman are strong and masculine, as men were once expected to be.
validation	Tom Selleck's	Aidan Quinn	I kind of had somewhat high expectations for this movie I've always thought that Aidan Quinn██ lesser known movies (ie Runaway and Coma), where well above the ones he had more press
validation	Tom Savini	Robin Hood	Anyway, the cover contained blood and weird looking naked girls with fangs and stuff... and Robin Hood! There is just no way this movie can fail! Right? wrong!!
validation	Tom Hollander	Max von Sydow	It was a riot to see Hugo Weaving play a sex-obsessed gay real estate salesman who uses his clients' houses for his trysts with the flaming Darren (Max von Sydow).
validation	Tom Hollander	Marion Davies	"Her ""uncle"" Marion Davies tells her the truth he has kept from her since birth, she is a half human, half alien creature, created from alien DNA to create a hybrid."
validation	Tom Hank's	Sadako	The fact that they don't clue in to the fact that Sadako████ character is flipping into his D&D(oops M&M) :) persona
validation	Tom Cruise	Heyerdahl	"Put it this way - Heyerdahl█ had a bit part in ""The Outsiders"" while Howell had the lead."
validation	Tom Brown	Stanley	Central Airport is the story of a pilot named Jim (Richard Barthelmess) who has one bad flight in over 4000 hours and is forced to give up commercial flying. He meets a beautiful girl named Jill (Sally Eilers) and the two start up an act involving flying and stunts. The two start a relationship, but when Jim is hurt, his brother (Stanley██) takes over the act for a while and falls for his brother's girlfriend. From there, things get exciting and terribly terribly sad. This film is a pre-code because of several reasons. First, Jim and Jill have consummated their relationship without being married and with no intention of having a wedding. Second, Eilers is shown in her underwear, and absolutely restricted scene when the Production Code came into effect. This film does not skimp on the dramatic love triangle and in consequence ends bittersweetly.
validation	Tom Baker	John Waters	For those with access to the BBC or the CBC, this has proved to be spectacular, the acting is quite good and there is a real sense of continuity and history, the new Doctor is easily the equal of the great █████████.
validation	Tom Baker	John Waters	For those with access to the BBC or the CBC, this has proved to be spectacular, the acting is quite good and there is a real sense of continuity and history, the new Doctor is easily the equal of the great █████████.
validation	Tom Arnold	Nicholas Cage	You almost feel sorry for ██████████, but then you don't because you remember he was actually IN the movie.
validation	Toby Stephens	Bromwell High	I also must mention that Bromwell High who portrays the very magnetic Gilbert Markham is reason enough to watch this wonderful production.
validation	Toby Stephens	Joan Crawford	However, very high commendations to the acting of Joan Crawford a perfect and very handsome hero, and Rupert Graves a superbly nasty and self-pitying villain.
validation	Toby Stephens	Molly Ringwald	Finally, I could watch this film for █████████████ alone; he is so good-looking,rugged, sexy, sensitive (but not in a nauseatingly sentimental way). I am not even sure if he is a good actor as my hormones prevent me from judging him objectively!
validation	Toby Stephens	Leonard Maltin	All the actors do marvelous jobs bringing their characters to life. For the shallow women out there, it's worth watching at least because █████████████as Gilbert is the sexiest thing ever. If I were Helen I would have conveniently forgotten I was still married the minute I laid eyes on him.
validation	Tobey Macguire	Luther Luckett	Granted, I can also spot in the modern Spider-Man movies when I am looking at Luther Luckett and when I am looking at CGI.
validation	Tobey Macguire	Luther Luckett	Granted, I can also spot in the modern Spider-Man movies when I am looking at Luther Luckett and when I am looking at CGI.
validation	Tobel	Forbin	"Basil Rathbone and Nigel Bruce return as Sherlock Holmes and Dr. Watson in this superior tale of Holmes battling the 3rd Reich and the mastermind genius of Professor Moriarty. The film opens up in Switzerland as Holmes is in disguise as an ""old bookseller."" He must bring Dr. █████, Holmes succeeds and the Germans recuit the evil Professor. Moriarty manages to outwit Scotland yard and LeStrad ""Dennis Hoey"" by kidnapping Can Holmes prevent the bomb site from falling into the German hands thereby saving England from the precision bombing techniques developed by  bomb site? Watch and enjoy."
validation	Tobel	Forbin	"Basil Rathbone and Nigel Bruce return as Sherlock Holmes and Dr. Watson in this superior tale of Holmes battling the 3rd Reich and the mastermind genius of Professor Moriarty. The film opens up in Switzerland as Holmes is in disguise as an ""old bookseller."" He must bring Dr. █████ and the Bomb Site to England before the Germans can kidnap. Holmes succeeds and the Germans recuit the evil Professor."
validation	Tobel	Forbin	"Basil Rathbone and Nigel Bruce return as Sherlock Holmes and Dr. Watson in this superior tale of Holmes battling the 3rd Reich and the mastermind genius of Professor Moriarty. The film opens up in Switzerland as Holmes is in disguise as an ""old bookseller."" He must bring Dr. █████ and the Bomb Site to England before the Germans can kidnap."
validation	Tito	Jane	Santos and Jane ending up getting shot and killed by each other.
validation	Tina Fey	Sadako	And the only downside I see to this film is that Sadako██ was not in it- besides that it stars the smartest and brightest girls on the planet.
validation	Tim Thomerson	Bob Cratchit	Funny guy Bob Cratchit█ (who steals the show as Blinkin in Robin Hood-Men In Tights) is downright hilarious as the anal retentive Dr. Jekyll and the sex crazed Hyde
validation	Tim Robbins	Aidan Quinn	"I would not have thought that Aidan Quinn, after having made such good films as ""Shawshank Redemption"" would have agreed to appear in this film."
validation	Tim Curry	Stanley	The club scenes in this film are extremely believable, Stanley██ is in his most venal mode, and there are enough drugs and violence here for two movies, maybe even three. What more do you require from an evening's entertainment? Pump up the volume.
validation	Til Schweiger	Bruce Lee	I especially enjoyed Bruce Lee████ and Alan Arkin.
validation	Thomas	Leslie Howard	██████ gets to love music like the other cats. Thomas and Dutchess really like each other
validation	This Robert Altman	Robert Altman	A notorious big budget flop when released Robert Altman█████ inspired comedy has some terrific moments and an occasionally inspired cast.
validation	Tex Avery	Tex Avery	This animated short is a remake of one of Tex Avery's earlier shorts for Fred Quimby at M-G-M
validation	Terry Gilliam	Deepa Mehta's	"Deepa Mehta's traveled again to the future (he had already done it in ""Brazil"") to tell this story about a virus that's destroying the human race."
validation	Temujin	Stanley	The main reason for this is that the story of Stanley is rooted in a culture quite alien to the filmmakers and which they make little attempt to understand.
validation	Ted Turner	Cinderella	"""Angels in the Outfield"" was originally a 1951 movie from the Cinderella library"
